Code,Name,Creator,Description,Wiki,Failure implication,"Severity/
Verification/
Metric",Facet,Darwin Core Class,Darwin Core Fields,References,Implementation notes (algorithms),Logic,New/Currently Supported,Geospatial
Geospatial,,,,,,,,,,,,,,
0,GEOSPATIAL_ISSSUE,,Generic geospatial issue,,,,,,,,,,,
2024,NEGATED_LATITUDE,GBIF,Record appears to be referencing a location in the wrong hemisphere,Wiki,Fix and report,Warning,Other,Location,decimalLatitude,,,,SUPPORTED,
2023,NEGATED_LONGITUDE,GBIF,Record appears to be referencing a location in the wrong hemisphere,Wiki,Fix and report,Warning,Other,Location,decimalLongitude,,,,SUPPORTED,
,INVERTED_COORDINATES,GBIF,Latitude and longitude have been transposed,Wiki,Fix and report,Warning,Other,Location,"decimalLatitude, decimalLongitude",,,,SUPPORTED,
2000,ZERO_COORDINATES,GBIF,Latitude and longitude provided are both zero,Wiki,Exclude from mapping and other reports. Make viewable in error report,Error,Important,Location,"decimalLatitude, decimalLongitude",,,,SUPPORTED,X
2001,COORDINATES_OUT_OF_RANGE,GBIF,Latitude >90 or <-90 and Longitude >180 or <-180,Wiki,Exclude from mapping and other reports. Make viewable in error report,Error,Important,Location,"decimalLatitude, decimalLongitude",,,,SUPPORTED,
1005,UNKNOWN_COUNTRY_NAME,GBIF,Unrecognised or unparseable country name,Wiki,Report,Warning,Other,Location,country,,,,SUPPORTED,
2036,ALTITUDE_OUT_OF_RANGE,GBIF,"Altitude greater than 10000m, or less than -100m",Wiki,Report,Warning,Other,Location,verbatimElevation,,,,SUPPORTED,X
,BADLY_FORMED_ALTITUDE,GBIF,Free text string provided as altitude,Wiki,Report,Warning,Other,Location,verbatimElevation,,,,Duplicate of ALTITUDE_NON_NUMERIC,
2037,MIN_MAX_ALTITUDE_REVERSED,GBIF,Typically a column mapping issue,Wiki,Fix and report,Warning,Other,Location," minimumElevationInMeters, maximumElevationInMeters",,,,SUPPORTED,X
2032,DEPTH_IN_FEET,GBIF,Darwin core specifies metres should be used,Wiki,Fix and report,Warning,Other,Location,verbatimDepth,,"Bassed on unit being supplied in the field - ft, f, feet",,SUPPORTED,
2033,DEPTH_OUT_OF_RANGE,GBIF,Depth greater than 10000,Wiki,Report,Warning,Other,Location,verbatimDepth,,,,SUPPORTED,X
2034,MIN_MAX_DEPTH_REVERSED,GBIF,Typically a column mapping issue,Wiki,Fix and report,Warning,Other,Location,verbatimDepth,,,,SUPPORTED,X
2038,ALTITUDE_IN_FEET,GBIF,Darwin core specifies metres should be used,Wiki,Fix and report,Warning,Other,Location,verbatimElevation,,"Bassed on unit being supplied in the field - ft, f, feet",,SUPPORTED,
2039,ALTITUDE_NON_NUMERIC,GBIF,Should be a numeric value in metres,Wiki,Report,Warning,Other,Location,verbatimElevation,,,,SUPPORTED,X
2035,DEPTH_NON_NUMERIC,GBIF,Should be a numeric value in metres,Wiki,Report,Warning,Other,Location,verbatimDepth,,,,"SUPPORTED 
Not in use in Biocache 04.09.2020",X
,,,,,,,,,,,,,,
1004,STATEPROVINCE_COORDINATE_MISMATCH,DM,Coordinates dont match the supplied state,Wiki,Report,Warning,Other,Location,"stateProvince, decimalLatitude, decimalLongitude",,,,SUPPORTED,X
19,COORDINATE_HABITAT_MISMATCH,DM,A marine species detected in a terrestrial environment or a terrestrial species detected in a marine environment.,Wiki,Exclude from mapping and other reports. Make viewable in error report,Error,Important,Location,"decimalLatitude, decimalLongitude,
terrestrial spatial layer",,,,SUPPORTED,X
20,"DETECTED_OUTLIER_ENVIRONMENTAL
DETECTED_OUTLIER",DM,Record marked as outlier because it is outside the acepted environmental range/envelope of the species,Wiki,Optionally exclude from mapping and other reports,Error,Outlier,Location,"decimalLatitude, decimalLongitude, various spatial layers",,"SB to investigate best methods to identify potentail outliers using standard deviation, deviations from median, cumulative frequency and other measures.",,SUPPORTED,
2018,COUNTRY_INFERRED_FROM_COORDINATES,GBIF,"Country field supplied was empty, but was inferred in processing by the supplied coordinates",Wiki,Report,Warning,Other,Location,country,GBIF 2010,,,SUPPORTED,
1001,COORDINATES_CENTRE_OF_STATEPROVINCE,DM,Coordinates are the exact centre of the state or territory,Wiki,Exclude from mapping and other reports. Make viewable in error report,Error,Other,Location,"stateProvince, coordinatePrecision, CoordinateUncertaintyInMeters
",,,,SUPPORTED,X
,COORDINATE_PRECISION_MISMATCH,MN,Coordinate data does not match precision indicated - could be incorrect precision or truncation or rounding of the coordinate data (most likely with trailing zeros),Wiki,Report,Warning,Other,Location,coordinatePrecision,,,,SUPPORTED,
,PRECISION_RANGE_MISMATCH,MN,A precision value should be between >0 and <=1 if entered according to DwC specificiations,Wiki,Report,Warning,Other,Location,coordinatePrecision,,,,SUPPORTED,
,UNCERTAINTY_RANGE_MISMATCH,MN,Uncertainty should be a whole number >0,Wiki,Report,Warning,Other,Location,coordinateUncertaintyInMeters,,,,SUPPORTED,X
1002,UNCERTAINTY_IN_PRECISION,MN,Uncertainty value in precision field,Wiki,Report,Warning,Other,Location,"coordinateUncertaintyInMeters, coordinatePrecision",,,,SUPPORTED,X
,SPECIES_OUTSIDE_EXPERT_RANGE,MN,Geographic coordinates are outside the range as defined by 'expert/s' for the taxa,Wiki,Report,Warning,Important,Location,"decimalLatitude, decimalLongitude, expert range spatial layer",,E.g. corals outside known range according to Charlie Veron - probable misidentification,,SUPPORTED,
1003,UNCERTAINTY_NOT_SPECIFIED,NC,Uncertainty was not supplied with the record,Wiki,Report,Warning,Important,Location,coordinateUncertaintyInMeters,,,,SUPPORTED,X
1006,COORDINATES_CENTRE_OF_COUNTRY,DM,Coordinates are the exact centre of the country,Wiki,Exclude from mapping and other reports. Make viewable in error report,Error,Important,Location,"country, decimalLatitude, decimalLongitude",,,,SUPPORTED,X
,MISSING_COORDINATEPRECISION,MN,coordinatePrecision not supplied with the record,Wiki,Report,Warning,Important,Location,coordinatePrecision,,,,SUPPORTED,
1007,MISSING_GEODETICDATUM,MN,geodeticDatum not supplied for coordinates,Wiki,Report - also implies uncertainty,Warning,Important,Location,geodeticDatum,ICSM 2000,"If there is a reference to use of GPS, WGS84 could be infered?",,SUPPORTED,
1009,MISSING_GEOREFERNCEDBY,MN,GeoreferencedBy not supplied with the record,Wiki,Report,Warning,Other,Location,georeferencedBy,,,,SUPPORTED,
1010,MISSING_GEOREFERENCEPROTOCOL,MN,GeoreferenceProtocol not supplied with the record,Wiki,Report,Warning,Other,Location,georeferenceProtocol,,,,SUPPORTED,
1011,MISSING_GEOREFERENCESOURCES,MN,GeoreferenceSources not supplied with the record,Wiki,Report,Warning,Other,Location,georeferenceSources,,,,SUPPORTED,
1012,MISSING_GEOREFERENCEVERIFICATIONSTATUS,MN,GeoreferenceVerificationStatus not supplied with the record,Wiki,Report,Warning,Other,Location,georeferenceVerificationStatus,,,,SUPPORTED,
,INVALID_GEODETICDATUM,SB,The geodetic datum is not valid,Wiki,Report,Warning,Important,Location,geodeticDatum,ICSM 2000,"The geodetic datum (spatial reference system) is not recorded, or is not in controlled vocabulary. Lack of datum may add a further 200 metre error to the spatial error. ",,Duplicate of UNRECOGNIZED_GEODETIC_DATUM,
,COORDINATE_UNCERTAINTY_IN_METERS,SB,The inferred maximum uncertainty is 'n' metres,Wiki,"Report, make facetable for spatial and other analyses",Metric,Other,Location,"coordinatePrecision, geodeticDatum, coordinateUncertaintyInMeters, georeferenceProtocol,  dataGeneralizations
","GeoRef, ICSM 2000; BioGeom a",See wiki for details.,,,
,GEOREFERENCE_UNCERTAIN,SB,The georeference is uncertain,Wiki,Exclude from mapping and other reports. Make viewable in error report,Error,Important,Location,georeferenceVerificationStatus,,"If doubts expresssed regarding geocode, e.g. 'requires verification' or 'doubtful' or 'uncertain' or similar then exclude.",,NOT SUPPORTED,
,GEOREFERENCE_VERIFIED,SB,The georeference  has been verified,Wiki,Report,Verification,Important,Location,georeferenceVerificationStatus,,"The georeferened  are verified as authentic, e.g. 'confirmed', 'verified'.",,NOT SUPPORTED,
,DETECTED_OUTLIER_JACKKNIFE,SB,"The location is an outlier detected using jack-knife algorithm
",Wiki,Optionally exclude from mapping and other reports,Error,Outlier,Location,"decimalLatitude, decimalLongitude","Chapman 2005a, ALA 2008",See wiki for details.,,SUPPORTED,
,DETECTED_OUTLIER_OTHER,SB,Other methods of outliers detection to be investigated.,Wiki,Optionally exclude from mapping and other reports,Error,Outlier,Location,"decimalLatitude, decimalLongitude",,"An investigation will be made of the suitability of MaxEnt probababiilty values as an indicator of outliers. Other outlier detection methods will also be investigated, e.g. Chapman 2005a (p.45)  mentions these geographic outlier detection methods:
Cumulative Freqency Curves(Diva-GIS, ANUCLIM); Principle Components Analysis (FloraMap, PATN); Cluster Analysis (FloraMap, PATN); Climatic Envelope (Diva-GIS); Reverse Jackknife (Diva-GIS, planned for BioGeomancer in 2006); Parameter Extremes (ANUCLIM); Other Methods (Standard Deviations from Mean; Deviations from Median; Use of Modelled Distributions - GARP, Lifemapper; Pattern Analysis - PATN; Ordinal Association Rules- PATN - assocation with vegetation types etc). Note: some of these are explicitly mention in other proposed outlier checks.

Note that all these are environmental outlier checks of one type or another (LB).",,NOT SUPPORTED,
,INFERRED_FALSE_PRECISION,SB,The location may have a false level of precision,Wiki,Report,Warning,Other,Location,"decimalLatitude, decimalLongitude, coordinatePrecision, geodeticDatum, coordinateUncertaintyInMeters",Chapman 2005b p26,"Indicate this if many decimal places in coordinates, but no precision or uncertainty measures. Methods to be investigated by SB",,,
1008,MISSING_GEOREFERENCE_DATE,MN,GeoreferenceDate not supplied with the record,,Report,Warning,Other,Location,georeferenceDate,,,,SUPPORTED,
1000,LOCATION_NOT_SUPPLIED,MN,"no indication of location (coordinates, locality, polygon, location ID, verbatim coordinates) supplied",,Exclude from mapping and other reports. Make viewable in error report,Error,Important,Location,"decimalLongitude, decimalLatitude, locality, footprtinWKT, locationID, verbatimCoordinates, verbatimLatitude, verbatimLongitude",,,,SUPPORTED,
,DECIMAL_COORDINATES_NOT_SUPPLIED,MN,decimal latitude and longitude not supplied,,Exclude from mapping and other reports. Make viewable in error report,Error,Other,Location,"decimalLatitude, decimalLongitude",,,,SUPPORTED,
2006,DECIMAL_LAT_LONG_COVERTED,CF,Decimal latitude and longitude were converted to WGS84,,Report,Warning,Other,Location,"decimalLatitude, decimalLongitude",,,,SUPPORTED,
2007,DECIMAL_LAT_LONG_CONVERSION_FAILED,CF,Conversion of provided decimal latitude and longitude to WGS84 failed,Wiki,Exclude from mapping and other reports. Make viewable in error report,Error,,Location,"decimalLatitude, decimalLongitude",,,,SUPPORTED,
,DECIMAL_LAT_LONG_CALCULATED_FROM_VERBATIM,CF,"Decimal latitude and longitude were calculated using verbatimLatitude, verbatimLongitude and verbatimSRS",,Report,Warning,,Location,"decimalLatitude, decimalLongitude, verbatimLatitude, verbatimLongitude, verbatimSRS",,,,SUPPORTED,
,DECIMAL_LAT_LONG_CALCULATION_FROM_VERBATIM_FAILED,CF,"Failed to calculate decimal latitude and longitude from verbatimLatitude, verbatimLongitude and verbatimSRS",,Exclude from mapping and other reports. Make viewable in error report,Error,,Location,"decimalLatitude, decimalLongitude, verbatimLatitude, verbatimLongitude, verbatimSRS",,,,SUPPORTED,
,DECIMAL_LAT_LONG_CALCULATED_FROM_EASTING_NORTHING,CF,"Decimal latitude and longitude were calculated using easting, nothing and zone",,Report,Warning,,Location,"decimalLatitude, decimalLongitude",,,,SUPPORTED,
,DECIMAL_LAT_LONG_CALCULATION_FROM_EASTING_NORTHING_FAILED,CF,"The attempt to generate decimal coordinates from a grid reference (Easting, Northing and Zone) was not successful",Wiki,Exclude from mapping and other reports. Make viewable in error report,Error,,Location,"decimalLatitude, decimalLongitude",,,,SUPPORTED,
2005,GEODETIC_DATUM_ASSUMED_WGS84,CF,Geodetic datum assumed to be WGS84 (EPSG:4326),,Report,Warning,,Location,geodeticDatum,,,,SUPPORTED,
2004,UNRECOGNIZED_GEODETIC_DATUM,CF,Geodetic datum not recognized,,Exclude from mapping and other reports. Make viewable in error report,Error,,Location,geodeticDatum,,,,SUPPORTED,
,ZERO_LATITUDE_COORDINATES,MN,Latitude value provided is zero,Wiki,,Warning,,Location,decimalLatitude,,,,,
,ZERO_LONGITUDE_COORDINATES,MN,Longitude value provided is zero,Wiki,,Warning,,Location,decimalLiongitude,,,,,
,COORDINATE_DECIMAL_PLACES_MISMATCH,CF,Coordinates have a mismatched number of decimal places.,,Report,Warning,,Location,"decimalLatitude, decimalLongitude, verbatimLatitude, verbatimLongitude",,Warning is raised if difference in number of decimal places between lat long is greater than 2.,,SUPPORTED,
,COORDINATE_SUSPECT_NUMBER_DECIMAL_PLACES,CF,Latitude and or longitude has a suspect number of decimal places. GPS receivers typically measure decimal degress to a maximum of 7 decimal places .,,Report,Warning,,Location,"decimalLatitude, decimalLongitude, verbatimLatitude, verbatimLongitude",,Warning is raised if lat or long has greater than 7 decimal places,,SUPPORTED,
,SUPPLIED_COORDINATES_CONVERTED,CF,Supplied coordinates may have been converted from another format,,Report,Warning,,Location,"decimalLatitude, decimalLongitude, verbatimLatitude, verbatimLongitude",,Warning is raised if lat or long has a decimal digit repeated 4 or more times,,SUPPORTED,
,COORDINATE_OUT_OF_RANGE,,,,,,,,,,,,,
2002,COORDINATE_INVALID,GBIF,Coordinate value is given in some form but unable to interpret it,,,,,,,,,,,
2003,COORDINATE_ROUNDED,GBIF,Original coordinate modified by rounding,,,,,,,,,,,
,COORDINATE_REPROJECTED,GBIF,,,,,,,,,,,,
,COORDINATE_REPROJECTION_FAILED,GBIF,,,,,,,,,,,,
2008,COORDINATE_REPROJECTION_SUSPICIOUS,GBIF,"Indicates successful coordinate reprojection according to provided datum, but which results in a datum shift larger than 0.1 decimal degrees",,,,,,,,,,,
2009,COORDINATE_ACCURACY_INVALID,GBIF,DEPRECATED,,,,,,,,,,,
2010,COORDINATE_PRECISION_INVALID,GBIF,Indicates an invalid or very unlikely coordinatePrecision,,,,,,,,,,,
2011,COORDINATE_UNCERTAINTY_METERS_INVALID,GBIF,Indicates an invalid or very unlikely dwc:uncertaintyInMeters,,,,,,,,,,,
2012,COORDINATE_PRECISION_UNCERTAINTY_MISMATCH ,GBIF,DEPRECATED,,,,,,,,,,,
2013,FOOTPRINT_SRS_INVALID,GBIF,The Footprint Spatial Reference System given could not be interpreted,,,,,,,,,,,
2014,FOOTPRINT_WKT_INVALID,GBIF,The Footprint Well-Known-Text given could not be interpreted,,,,,,,,,,,
2015,COUNTRY_COORDINATE_MISMATCH,GBIF,Coordinates outside the range for the reported country,Wiki,Report,Warning,Other,Location,"country, decimalLatitude, decimalLongitude",,,,SUPPORTED,
2016,COUNTRY_MISMATCH,,Interpreted country for dwc:country and dwc:countryCode contradict each other,,,,,,,,,,,
2017,COUNTRY_INVALID,,Uninterpretable country values found,,,,,,,,,,,
,COUNTRY_DERIVED_FROM_COORDINATES,,"The interpreted country is based on the coordinates, not the verbatim string information",,,,,,,,,,,
2019,CONTINENT_COUNTRY_MISMATCH,,The interpreted continent and country do not match,,,,,,,,,,,
2020,CONTINENT_INVALID,,Uninterpretable continent values found,,,,,,,,,,,
2021,CONTINENT_DERIVED_FROM_COORDINATES,,"The interpreted continent is based on the coordinates, not the verbatim string information",,,,,,,,,,,
2022,PRESUMED_SWAPPED_COORDINATE,,Latitude and longitude appear to be swapped,Wiki,,Warning,,Location,"decimalLatitude, decimalLongitude",,Replaces,,,
,PRESUMED_NEGATED_LONGITUDE,,"Longitude appears to be negated, e.g. 32.3 instead of -32.3",,,,,,,,,,,
,PRESUMED_NEGATED_LATITUDE,,"Latitude appears to be negated, e.g. 32.3 instead of -32.3",,,,,,,,,,,
,DEPTH_NOT_METRIC,,"Not currently in use in biocache, listed in public enum ALAOccurrenceIssue implements InterpretationRemark",,,,,,,,,,,
,DEPTH_UNLIKELY,,"Not currently in use in biocache, listed in public enum ALAOccurrenceIssue implements InterpretationRemark",,,,,,,,,,,
,DEPTH_MIN_MAX_SWAPPED,,"Not currently in use in biocache, listed in public enum ALAOccurrenceIssue implements InterpretationRemark
appears to be a duplicate of DEPTH_MIN_MAX_REVERSED",,,,,,,,,,,
,ELEVATION_UNLIKELY,,"Not currently in use in biocache, listed in public enum ALAOccurrenceIssue implements InterpretationRemark",,,,,,,,,,,
,ELEVATION_MIN_MAX_SWAPPED,,Set if supplied minimum elevation > maximum elevation,,,,,,,,,,,
,ELEVATION_NOT_METRIC,,"Not currently in use in biocache, listed in public enum ALAOccurrenceIssue implements InterpretationRemark",,,,,,,,,,,
,ELEVATION_NON_NUMERIC,,Set if elevation is a non-numeric value,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Taxonomic,,,,,,,,,,,,,,
10000,TAXONOMIC_ISSUE,,Generic taxonimoc issue,,,,,,,,,,,
1036,INVALID_SCIENTIFIC_NAME,GBIF,"The scientific name provided is not structured as a valid scientific name. Also catches rank values or values such as ""UNKNOWN""",Wiki,Report,Error,Taxon/Identfication,Taxon,scientificName,,"Based on the ""blacklist"" parse type.",,SUPPORTED,
1033,UNKNOWN_KINGDOM,GBIF,"Kingdom provided doesn't match a known kingdom e.g. Animalia, Plantae",Wiki,Report,Error,Taxon/Identfication,Taxon,kingdom,,A  vocab list of known kingdoms.,,SUPPORTED,
,AMBIGUOUS_NAME,DM,"Name homonym issues detected with record, missing higher classification preventing placement",Wiki,Report,Error,Taxon/Identfication,Taxon,"scientificName, other taxon fields",,,,Duplicate of HOMONYM_ISSUE,
,NAME_NOT_RECOGNISED,DM,The scientific name provided does not match any of the names lists used by the ALA.  For a full explanation of the ALA name matching process see https://github.com/AtlasOfLivingAustralia/ala-name-matching,Wiki,Report,Error,Taxon/Identfication,Taxon,scientificName,,,,SUPPORTED,X
,NAME_NOT_IN_NATIONAL_CHECKLISTS,DM,"Name of the taxon not in the national species lists for the national in which it was recorded, but the name is in other checklists (e.g. CoL)",Wiki,Report,Error,Taxon/Identfication,Taxon,scientificName,,,,SUPPORTED,X
,HOMONYM_ISSUE,DM,Name and classification supplied cant be used to choose between 2 homonyms,Wiki,Report,Error,Taxon/Identfication,Taxon,"scientificName, other taxon fields",,,,SUPPORTED,X
10007,IDENTIFICATION_INCORRECT,,,,,,,,,,,,,
1031,MISSING_TAXONRANK,MN,taxonRank not supplied with the record,Wiki,Report,Warning,Taxon/Identfication,Taxon,taxonRank,,,,SUPPORTED,
,MISSING_IDENTIFICATIONQUALIFIER,MN,identificationQualifier not supplied with the record,Wiki,Report,Warning,Taxon/Identfication,Identification,identficationQualifier,,,,SUPPORTED,
,MISSING_IDENTIFIEDBY,MN,identifiedBy not supplied with the record,Wiki,Report,Warning,Taxon/Identfication,Identification,identifiedBy,,,,SUPPORTED,
,MISSING_IDENTIFICATIONREFERENCES,MN,identificationReferences not supplied with the record,Wiki,Report,Warning,Taxon/Identfication,Identification,identficationReferences,,,,SUPPORTED,
,MISSING_DATEIDENTIFIED,MN,identificationDate not supplied with the record,Wiki,Report,Warning,Taxon/Identfication,Identification,identificationDate,,,,SUPPORTED,
,IDENTIFICATION_UNCERTAIN,SB,The identification is uncertain,Wiki,Exclude from mapping and other reports. Should be viewable in error report,Error,Taxon/Identfication,Identification,identificationQualifier,Chapman 2005a & 2005b,"If doubts expresssed regarding taxon identification, e.g. 'requires verification' or 'doubtful' or 'uncertain' or similar then exclude.",,,
,IDENTIFICATION_VERIFIED,SB,The identication has been verified,Wiki,Report,Verification,Taxon/Identfication,Identification,identificationQualifier,Chapman 2005a & 2005b,"The identification is verified as authentic, e.g. 'verified', 'confirmed'",,,
1032,NAME_NOT_SUPPLIED,MN,Neither scientific name or vernacular name were supplied,,Exclude from mapping and other reports. Should be viewable in error report,Error,Taxon/Identfication,Taxon,"scientificName, vernacularName",,,,SUPPORTED,
1019,TAXON_AFFINITY_SPECIES,,The scientific name has an aff. marker indicating a like-but-not identification,,,,,,,,,,Supported in Biocache 04.09.2020,
1035,TAXON_DEFAULT_MATCH,,The ocurrence record was matched to a default value supplied by higher-order elements,,,,,,,,,,Supported in Biocache 04.09.2020,
1020,TAXON_EXCLUDED_ASSOCIATED,,"The taxon, while matched, also has an excluded match",,,,,,,,,,Supported in Biocache 04.09.2020,
1021,TAXON_CONFER_SPECIES,,"The scientific name has a cf. marker, indicating uncertain identification",,,,,,,,,,Supported in Biocache 04.09.2020,
1022,TAXON_EXCLUDED,,The taxon is excluded (should not be found in this location),,,,,,,,,,Supported in Biocache 04.09.2020,
1023,TAXON_ERROR,,There has been a generic taxon matching error,,,,,,,,,,Supported in Biocache 04.09.2020,
1034,TAXON_SCOPE_MISMATCH,,The supplied hints do not match the final name match ,,,,,,,,,,Supported in Biocache 04.09.2020,
