ALL-RIGHTS-RESERVED,All rights reserved,,
ALL-RIGHTS-RESERVED,All Rights Reserved,,
CC BY .0,Creative Commons Attribution 3.0,,
CC BY 4.0 AU,Creative Commons Attribution (Australia),,
CC BY 4.0,"[""Creative Commons - license at record level""]",,
CC BY 4.0,"[""Creative Commons Attribution""]",,
CC BY 4.0,Attribution License,,
CC BY 4.0,CC BY 4.0,,
CC BY 4.0,CC-BY 4.0,,
CC BY 4.0,Creative Commons Attribution 0,,
CC BY 4.0,Creative Commons Attribution 4.0,,
CC BY 4.0,Creative Commons Attribution,,
CC BY 4.0,Creative Commons Attribution,,
CC BY 4.0,http://creativecommons.org/licenses/by/4.0/,,
CC BY 4.0,https://creativecommons.org/licenses/by/4.0/,,
CC BY-NC 3.0 AU,https://creativecommons.org/licenses/by-nc/3.0/au/,,
CC BY-NC 3.0,Attribution-NonCommercial License,,
CC BY-NC 3.0,Creative Commons Attribution Non-Commercial Australia 3.0,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.0,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.1,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.10,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.11,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.12,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.13,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.14,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.15,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.16,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.17,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.18,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.19,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.2,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.20,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.21,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.22,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.23,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.24,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.25,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.26,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.27,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.28,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.29,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.3,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.30,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.31,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.32,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.33,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.34,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.35,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.36,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.37,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.38,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.39,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.4,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.40,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.41,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.42,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.43,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.44,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.45,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.46,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.47,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.48,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.49,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.5,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.50,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.51,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.52,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.53,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.54,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.55,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.56,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.57,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.58,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.59,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.6,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.60,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.61,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.62,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.63,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.64,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.65,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.66,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.7,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.8,,
CC BY-NC 3.0,Creative Commons Attribution-Non Commercial (CC BY-NC) 3.9,,
CC BY-NC 3.0,Creative Commons Attribution-Noncommercial,,
CC BY-NC 3.0,http://creativecommons.org/licenses/by-nc/3.0/,,
CC BY-NC 4.0,Creative Commons Attribution-Noncommercial,,
CC BY-NC 4.0,http://creativecommons.org/licenses/by-nc/4.0/,,
CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/,,
CC BY-NC-ND 4.0,Attribution-NonCommercial-NoDerivs License,,
CC BY-NC-ND 4.0,http://creativecommons.org/licenses/by-nc-nd/4.0/,,
CC BY-NC-SA 3.0 AU,CC-BY-SA-NC 3.0 Australia,,
CC BY-NC-SA 3.0 AU,http://creativecommons.org/licenses/by-nc-sa/3.0/au/,,
CC BY-NC-SA 3.0,Attribution-NonCommercial-ShareAlike License,,
CC BY-NC-SA 3.0,CC-BY-NC-SA 3.0,,
CC BY-NC-SA 3.0,Creative Commons Attribution-Noncommercial-Share Alike,,
CC BY-NC-SA 4.0,http://creativecommons.org/licenses/by-nc-sa/4.0/,,
CC BY-NC-SA 4.0,This work is licensed under a Creative Commons Attribution-NonCommercial-ShareAlike 4.0 License (https://creativecommons.org/licenses/by-nc-sa/4.0/).,,
CC BY-ND 4.0,Attribution-NoDerivs License,,
CC BY-ND 4.0,http://creativecommons.org/licenses/by-nd/4.0/,,
CC BY-SA 4.0,Attribution-ShareAlike License,,
CC BY-SA 4.0,Creative Commons Attribution-Share Alike,,
CC BY-SA 4.0,http://creativecommons.org/licenses/by-sa/4.0/,,
PUBLIC-DOMAIN,http://creativecommons.org/publicdomain/zero/1.0/,,
PUBLIC-DOMAIN,Public Domain Mark,,